      0.00000000E+00      0.00000000E+00
      0.92831801E+00      0.32831799E+00
      0.15566360E+01      0.95663599E+00
      0.21849540E+01      0.15849540E+01
      0.28132720E+01      0.22132720E+01
      0.31415900E+01      0.31415900E+01
  
      0.00000000E+00      0.00000000E+00
      0.14381411E+01      0.38533571E+00
      0.26151841E+01     -0.52640852E+00
      0.36679711E+01      0.52637849E+00
      0.27562610E+01      0.17034475E+01
      0.31415900E+01      0.31415900E+01
  
      0.00000000E+00      0.00000000E+00
      0.10728441E+01     -0.19442328E+00
      0.20131857E+01      0.35743430E+00
      0.27842391E+01      0.11283252E+01
      0.33359740E+01      0.20687388E+01
      0.31415900E+01      0.31415900E+01
  
      0.00000000E+00      0.00000000E+00
      0.14195549E+01      0.28217151E+00
      0.26305534E+01     -0.51044450E+00
      0.36544407E+01      0.51251286E+00
      0.28594897E+01      0.17220014E+01
      0.31415900E+01      0.31415900E+01
  
      0.00000000E+00      0.00000000E+00
      0.10741798E+01     -0.15433692E+00
      0.20471856E+01      0.32623516E+00
      0.28091131E+01      0.10989924E+01
      0.32982267E+01      0.20677363E+01
      0.31415900E+01      0.31415900E+01
  
      0.00000000E+00      0.00000000E+00
 NaN                 NaN                
 NaN                 NaN                
 NaN                 NaN                
     -0.62672202E+18     -0.12412926E+19
      0.31415900E+01      0.31415900E+01
  
